City,Total Events,Unique Events,
,"353,273","221,608","574,881"
"new york, new york","2,307","1,481","3,788"
"london, england","1,734","1,088","2,822"
"paris, france","1,266",899,"2,165"
"moscow, russia","1,068",719,"1,787"
"san francisco bay, california","1,009",701,"1,710"
"chicago, illinois",994,624,1618
singapore,"1,021",575,"1,596"
"beijing, china",995,566,1561
"hong kong, china","1,020",506,"1,526"
"berlin, germany",843,588,1431
"aarhus, denmark",804,621,1425
"shanghai, china",936,473,1409
"melbourne, australia",852,519,1371
"mumbai, india",980,371,1351
"los angeles, california",791,531,1322
"rome, italy",822,496,1318
"tokyo, japan",833,481,1314
"amsterdam, netherlands",690,456,1146
"istanbul, turkey",732,396,1128
"barcelona, spain",689,408,1097
"sydney, australia",669,391,1060
"dc baltimore, maryland",642,411,1053
"san francisco, california",617,410,1027
"boston, massachusetts",589,406,995
"madrid, spain",593,399,992
"saint petersburg, russia",617,344,961
"seoul, south korea",630,324,954
"toronto, canada",507,367,874
"milan, italy",520,352,872
"seattle, washington",524,334,858
"dubai, abu dhabi",521,285,806
United States of America,407,382,789
"bengaluru, india",458,321,779
"montreal, canada",451,293,744
"sao paulo, brazil",462,263,725
"rio de janeiro, brazil",464,257,721
"munich, germany",411,294,705
"mexico city, mexico",436,268,704
"new delhi, india",407,268,675
"copenhagen, denmark",425,244,669
"warsaw, poland",379,259,638
"atlanta, georgia",365,270,635
"hamburg, germany",394,241,635
"kyiv, ukraine",385,248,633
"jakarta, indonesia",414,200,614
"stockholm, sweden",368,239,607
"dublin, ireland",383,223,606
"portland, oregon",350,253,603
"detroit, michigan",385,215,600
"philadelphia, pennsylvania",361,222,583
"prague, czech republic",347,229,576
"vancouver, canada",360,216,576
"brussels, belgium",317,229,546
"lisbon, portugal",365,180,545
"venice, italy",329,215,544
"dallas, texas",302,222,524
"miami, florida",320,201,521
"athens, greece",346,173,519
"chennai, india",329,184,513
"abidjan, ivory coast",294,215,509
"austin, texas",304,205,509
"bangkok, thailand",317,178,495
"houston, texas",308,182,490
"denver boulder, colorado",273,204,477
"frankfurt, germany",265,191,456
"budapest, hungary",265,189,454
"minsk, belarus",276,174,450
"san diego tijuana, mexico",274,175,449
"buenos aires, argentina",270,176,446
"krakow, poland",283,163,446
"cape town, south africa",290,151,441
"cairo, egypt",266,157,423
"perth, australia",258,155,413
"vienna bratislava, austria",228,184,412
"bucharest, romania",251,159,410
"zurich, switzerland",238,159,397
"oslo, norway",247,148,395
"new orleans, louisiana",247,144,391
"acoruna, spain",227,163,390
"santiago, chile",223,165,388
"bogota, colombia",233,153,386
"brisbane, australia",231,149,380
"lyon, france",214,162,376
"ankara, turkey",225,148,373
"kuala lumpur, malaysia",215,156,371
"manila, philippines",230,137,367
"johannesburg, south africa",225,138,363
"rotterdam, netherlands",213,148,361
"adelaide, australia",218,138,356
"accra, ghana",220,134,354
"brasilia, brazil",219,129,348
"minneapolis saint paul, minnesota",194,147,341
"edinburgh, scotland",206,130,336
"hyderabad, india",191,140,331
"taipei, taiwan",213,114,327
"manchester, england",203,123,326
"auckland, new zealand",195,128,323
"helsinki, finland",197,124,321
"abuja, nigeria",187,132,319
Germany,165,152,317
"porto, portugal",204,108,312
"marseille, france",191,115,306
"albany, new york",175,130,305
"bratislava, slovakia",188,113,301
"ho chi minh city, vietnam",188,113,301
"kharkiv, ukraine",194,104,298
"phoenix, arizona",172,123,295
"New York, New York",174,117,291
"tel aviv, israel",181,110,291
